               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093186,            0.038819,                   0,             0.46937,             0.55833,             0.48999,             0.21615,            0.047776,            0.025706,                   0,            0.070476,           0.0032804,           0.0032804
                   1,             0.06871,            0.036166,                   0,             0.40169,             0.88333,             0.57077,             0.20389,            0.051376,             0.01743,                   0,            0.039821,            0.005959,            0.005959
                   2,            0.063645,            0.033945,                   0,             0.49275,                 0.6,             0.59974,             0.25811,            0.045616,            0.014297,                   0,           0.0085067,           0.0079776,           0.0079776
                   3,            0.061015,            0.030227,                   0,             0.60694,               0.875,             0.76239,             0.31275,            0.034923,            0.014484,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.052755,            0.028008,                   0,             0.74073,                 0.9,             0.83623,             0.38023,            0.032076,            0.013057,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.048779,            0.025885,                   0,             0.79646,             0.91308,             0.91764,             0.47461,            0.029326,            0.012661,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.043255,            0.024795,                   0,             0.87065,             0.90833,             0.90364,             0.44979,            0.027163,            0.012784,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.041223,            0.026111,                   0,             0.95405,               0.925,             0.97215,             0.55194,            0.024092,            0.012591,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.038366,            0.024336,                   0,                   1,             0.92794,             0.98291,             0.56319,            0.022937,            0.012419,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.035495,            0.022906,                   0,             0.97132,             0.93333,             0.97738,             0.52166,            0.024605,            0.012832,                   0,             0.00208,             0.00208,             0.00208
